15
100	0.0028541326 0.00058893477 0.0047079552 0.013237636 0.016278678 0.00073771617 0.00022739664 0.0086305592 0.017963756 0.0071656043 0.021572052 0.036315682 0.043251333 0.053890436 0.03739405 	0.59746034	1.1003294
200	-0.00079970001 -0.00238714 -0.001372089 0.014946681 0.028467099 -0.0041023449 -0.0074224824 -0.0017501782 0.037085873 -0.014218764 0.017929154 0.073540273 0.045762567 0.1234427 0.017358471 	0.40883051	0.077111967
300	-0.0003005156 -0.0030603761 -0.0013187017 0.010262476 0.038709576 -0.0011842013 -0.0039124895 -0.012450047 0.055054247 -0.018906167 0.0099476794 0.11335257 0.022416979 0.2097964 -0.016843973 	0.25957793	0.085389343
400	-0.00022275011 -0.0043175513 -0.00072006172 0.0056141538 0.041602233 -0.00067180075 -0.00050106861 -0.011935639 0.056651287 -0.026565402 0.011068317 0.12978215 0.0081327199 0.29773357 -0.026466208 	0.20286067	0.043099945
500	0 -0.0073730435 -0.0012510604 -0.00049472789 0.032134817 -0.0058954449 0.0004373789 -0.0034434439 0.035465806 -0.037438778 0.021798144 0.11398181 0.0030832624 0.37028386 -0.024830924 	0.16209733	0.16077808
600	0 -0.0094076168 -1.6515799e-05 -0.0025701157 0.013497265 -0.004821032 -0.00019376256 0.0026196834 0.0015779941 -0.032397718 0.034287125 0.081372808 -0.0090373721 0.4278886 -0.024439325 	0.12926503	0.22561527
700	0 -0.0089508834 -0.00064056824 0.000852834 -0.0065968266 0.0040948498 0.00017214895 -0.0035901042 -0.024778566 -0.02517907 0.035633305 0.048191563 -0.017026744 0.47536954 -0.012415827 	0.11894629	0.043462165
800	0 -0.0063604009 -0.00037774097 -0.0014673401 -0.014828998 0.0035439703 9.3429667e-05 -0.0067250642 -0.032072945 -0.016514184 0.026579608 0.023112632 -0.015363746 0.51363363 -0.0063876545 	0.11692411	0.038302543
900	0 -0.00097368424 -0.00012173352 -0.00047024997 -0.012301268 0.00030519647 0 -0.0044927703 -0.024994611 -0.008914839 0.0074975625 0.0071194382 -0.010185763 0.54142168 -0.0064733792 	0.11297084	0.11775694
1000	0 -0.0011939108 -9.4928027e-06 -0.00099203654 -0.0035391959 -0.00026085688 0 -0.00016187739 -0.011783289 -0.001688061 -0.01166196 -0.0027642004 -0.005163698 0.55718045 -0.011339856 	0.11322054	0.14572622
1100	0 -0.0073747765 0 -0.00087023049 0.0040060086 -0.001684283 0 -0.0011547812 8.8947004e-05 -0.00069577996 -0.017228163 0.00082635924 -0.0025717156 0.56106936 -0.01609768 	0.11439111	12.903595
1200	0 -0.012452467 0 -0.00054912028 -0.001897963 0.00028438198 0 -0.0024474549 -0.0013300057 -0.0043562247 -0.010062098 0.0029728207 -0.0021508985 0.55435118 -0.016684541 	0.11242931	0.11959629
1300	0 -0.015672174 0 -0.00073912409 -0.0052711524 0.00022535522 0 -0.0038393233 -0.0069509614 -0.0062615789 0.0037854401 0.0014534266 -0.0076885087 0.54103257 -0.0091014268 	0.11083284	0.15535099
1400	0 -0.01536759 0 -0.00038475584 -0.0011847043 0.0011586835 0 -0.0010049296 -0.0066923715 -0.0077156562 0.0087485362 0.00049766963 -0.011292378 0.52491182 -0.0050289832 	0.1105914	0.061686242
1500	0 -0.012735457 0 1.3628578e-05 0.0023922571 -0.00021645885 0 -0.00077815061 -0.0008443439 -0.0067185379 0.0045040459 0.0027514802 -0.0073443305 0.50975699 -0.0083487443 	0.10935863	1.5981959
1600	0 -0.0092503457 0 9.2705223e-05 -0.0018993198 -0.00077375958 0 -0.0036407712 0.0018245707 -0.0041183084 -0.0037907136 0.007707284 -0.0004908098 0.49892834 -0.0080190594 	0.10978867	0.11820136
1700	0 -0.0059063349 0 1.275642e-05 0.00018656189 0.00017079844 0 -0.0046137361 -0.0042941285 -0.0054204063 -0.0020489343 0.012065992 -0.0018233914 0.49312794 -0.0068871056 	0.10954487	2.4381211
1800	0 -0.0024699506 0 -0.00049612678 -0.00041982437 0.00021890526 0 -0.0030477829 -0.0044386073 -0.0095516155 0.0046525545 0.014571703 -0.004875465 0.49261458 -0.0091612817 	0.10971563	0.086539493
1900	0 5.4443644e-05 0 -0.00039459515 0.00035255303 -0.0020777358 0 -0.0015442774 0.00065751844 -0.0098269522 0.0040737838 0.017651339 -0.0062442639 0.49675578 -0.0090817586 	0.10961318	0.1780908
2000	0 -0.0014844996 0 -0.00042458845 -5.560389e-05 -0.0020009677 0 -5.3572869e-05 -0.0020997313 -0.0078830619 -0.0010627135 0.016377444 -0.0030746001 0.50244467 -0.012153409 	0.1091997	0.50298902
2100	0 -0.0039187657 0 -7.3096677e-06 -0.00021244746 -0.00063702663 0 -0.0030575548 -0.0029904569 -0.0069081972 -0.0010668017 0.013199236 -0.0038927846 0.50861397 -0.0096407568 	0.1089132	2.2470897
2200	0 -0.0064543713 0 -9.4499866e-05 0.00011419091 0.00011853817 0 -0.005650588 -0.0010434461 -0.0079999436 0.0030374828 0.0068544436 -0.0048499255 0.51354929 -0.0087426142 	0.10891369	0.10206949
