6
100	0.00050840672 0.0071908957 0.01625383 0.00064179464 0.00044376985 0.0029660877 	-136.99941	0.035972922
200	0.0017254745 0.024628562 0.057272823 0.00047149504 0.00024672529 0.0026621626 	-138.14223	0.0086766732
300	0.0036205524 0.052032216 0.1265682 0.00018646309 5.9770288e-05 0.0021825116 	-139.52235	0.025233176
400	0.0060669906 0.08686347 0.22311969 -0.00021624605 -0.00010030625 0.0015630672 	-140.6955	0.037539882
500	0.0080043995 0.11226182 0.30714673 -0.00050926059 -0.00019559236 0.001054781 	-141.22526	0.0069061957
600	0.0094498043 0.12660539 0.3799599 -0.00070595252 -0.00025641885 0.00063624277 	-141.41866	0.0066599117
700	0.010281188 0.12796057 0.43404384 -0.00079455464 -0.00028400863 0.00033840866 	-141.45037	0.0074876392
800	0.01064184 0.1216555 0.46900663 -0.00080855718 -0.0002899158 0.00015265358 	-141.44005	0.0086750272
900	0.010671933 0.11051888 0.48947215 -0.00077359185 -0.00028153414 4.7545864e-05 	-141.43663	0.0014879922
1000	0.010455943 0.095773599 0.4993057 -0.00070175715 -0.00026237713 6.1838469e-07 	-141.45164	0.65040891
1100	0.010048284 0.078196002 0.50125667 -0.00059857813 -0.00023417178 -3.2962035e-06 	-141.4819	0.043009198
1200	0.0094888682 0.058444845 0.49746751 -0.00047263426 -0.00020015994 2.3989079e-05 	-141.51872	0.021384096
1300	0.0087971054 0.03688137 0.48960981 -0.00032543195 -0.00016119859 7.3928527e-05 	-141.55268	0.015637581
1400	0.0079521513 0.013204131 0.47902405 -0.00015588726 -0.00011898162 0.00013844955 	-141.57541	0.018334583
1500	0.0070547495 -0.00979661 0.46962291 1.3095511e-05 -8.0205127e-05 0.00019709778 	-141.58001	0.14906156
1600	0.0062310625 -0.028656423 0.46525766 0.00014684603 -4.4703396e-05 0.00022615053 	-141.57362	0.012142696
1700	0.005553629 -0.041496008 0.46748896 0.00023449775 -3.3370138e-05 0.00021993747 	-141.56923	0.0095880855
1800	0.005031216 -0.047419452 0.47676028 0.00026115319 -3.4827827e-05 0.00017350013 	-141.57333	0.017421038
1900	0.004601406 -0.048070473 0.48995662 0.00024399568 -4.5414068e-05 0.00010378708 	-141.57993	0.03013656
2000	0.0041816062 -0.0454555 0.5038081 0.00020365098 -6.2580416e-05 3.0568285e-05 	-141.58232	0.022955338
2100	0.0036863632 -0.041851156 0.51492879 0.00016104182 -7.6920628e-05 -2.9013385e-05 	-141.57951	0.023523771
2200	0.0030648712 -0.038786192 0.52136931 0.00012908348 -8.640761e-05 -6.3450091e-05 	-141.57562	0.0033932785
2300	0.0022917427 -0.03706227 0.52232609 0.00011610762 -8.9131518e-05 -6.922593e-05 	-141.5747	0.0046960631
2400	0.0013803907 -0.036746829 0.51833716 0.00011974673 -8.6042138e-05 -4.8492165e-05 	-141.57736	0.0069577803
2500	0.00038723043 -0.037264217 0.51121915 0.00013482478 -7.9030051e-05 -1.1171684e-05 	-141.5811	0.050013675
2600	-0.00064114277 -0.037969459 0.50230965 0.00015399619 -7.0145426e-05 3.5538906e-05 	-141.58361	0.015678818
