15
100	0.017023148 0.033922403 0.031726195 0.038254698 0.011787444 0.090816026 0.063467286 0.071534193 0.028109487 0.07738424 0.073472207 0.019770352 0.10900918 0.024973321 0.0020145776 	-1.100193	0.22901575
200	0.025936593 0.052103724 0.036430273 0.052866582 0.01525434 0.13531889 0.077095608 0.09773062 0.045706847 0.048201053 0.075816738 0.0049295212 0.13475736 0.022134854 -0.0060951665 	-1.2195992	0.045959933
300	0.036322014 0.067961948 0.04112953 0.064739799 0.020723504 0.16458728 0.080392201 0.10973499 0.061529068 0.0025225918 0.06544512 -0.012456367 0.13787091 0.01154174 -0.0037108492 	-1.2638071	0.090852571
400	0.052223471 0.084779012 0.06010039 0.082117488 0.031138204 0.18410494 0.087179667 0.11573766 0.074818548 -0.0052515982 0.070063933 -0.015391193 0.14062537 0.001922719 -0.0079182422 	-1.2779159	0.062335264
500	0.069521021 0.097055445 0.081728301 0.097928463 0.042854558 0.18233888 0.080996013 0.10609437 0.080735215 -0.012599881 0.069053038 -0.01639284 0.1261589 -0.012589579 -0.0087077556 	-1.2942299	0.011852982
600	0.0897933 0.10963127 0.1088316 0.11830851 0.055799156 0.17319417 0.071695151 0.093615557 0.083432567 -0.011453829 0.075136525 -0.016006901 0.11639502 -0.026434969 -0.011447028 	-1.310572	0.0050839622
700	0.11208945 0.12437039 0.13712833 0.14260872 0.068970221 0.16430901 0.061178783 0.082973566 0.086100734 -0.019061367 0.082796502 -0.019294757 0.11230042 -0.040190923 -0.01234094 	-1.3258565	0.0073452982
800	0.1359342 0.14229796 0.16665373 0.1694842 0.081926699 0.16005325 0.053128965 0.075543018 0.090500614 -0.031797322 0.090491444 -0.024471566 0.10959519 -0.053927527 -0.01263274 	-1.3400631	0.0031143318
900	0.16068572 0.16261827 0.19810121 0.19710584 0.0942307 0.1589554 0.048275813 0.069130804 0.096192862 -0.041058379 0.097532817 -0.027960345 0.10236277 -0.067588282 -0.014287612 	-1.3525907	0.0023937747
1000	0.18528174 0.18339798 0.2296358 0.2240156 0.10522674 0.15632732 0.042864747 0.060934404 0.10167748 -0.049517762 0.10163531 -0.029324184 0.088311034 -0.080799952 -0.015315407 	-1.363432	0.0015761029
1100	0.20960661 0.20454486 0.26116636 0.25194962 0.11426535 0.15216236 0.03695625 0.053392376 0.10662932 -0.055510205 0.10734188 -0.028851792 0.076403769 -0.090876666 -0.017508233 	-1.3719537	0.0019061748
1200	0.23292665 0.22548117 0.29058286 0.28048488 0.12050765 0.14589122 0.02895846 0.046755099 0.11076266 -0.065544602 0.11298154 -0.028808863 0.068168432 -0.097567157 -0.018477797 	-1.3788161	0.0028614539
1300	0.25494523 0.24646322 0.31835226 0.30895632 0.12321889 0.13921595 0.021026231 0.04142478 0.11432143 -0.073355969 0.11911868 -0.028940244 0.061999373 -0.10167665 -0.019750484 	-1.3839171	0.0036831957
1400	0.2750697 0.26722375 0.34362693 0.33566515 0.12184769 0.13261541 0.013443131 0.036240415 0.11742033 -0.079295838 0.12275888 -0.029593325 0.052653431 -0.1049978 -0.01992436 	-1.3877947	0.0052492762
1500	0.29325167 0.28810147 0.36640931 0.36087135 0.1161944 0.12771453 0.0074074534 0.032431878 0.12038581 -0.082565192 0.12482943 -0.030891041 0.04211351 -0.10744202 -0.019748335 	-1.3908582	0.0070953776
1600	0.30940404 0.30891702 0.38607524 0.38501492 0.10633372 0.12429874 0.0022368874 0.030588886 0.1231055 -0.086453372 0.12576868 -0.033160981 0.033542928 -0.10837462 -0.0187636 	-1.3933867	0.023306912
1700	0.32344703 0.32910027 0.4026917 0.40803387 0.092490993 0.12076632 -0.0029315625 0.029790027 0.12495911 -0.089649852 0.126175 -0.035542917 0.027533586 -0.10767453 -0.017460993 	-1.3955567	0.017749822
1800	0.33526363 0.34810333 0.41627416 0.42927182 0.075000309 0.11568246 -0.0083255576 0.028457696 0.12546605 -0.091121284 0.1253228 -0.037155081 0.021856381 -0.1059971 -0.015832104 	-1.3975835	0.0066843321
1900	0.34501697 0.36619239 0.42703347 0.44877608 0.054384295 0.11001102 -0.013267541 0.02687534 0.12493427 -0.091246033 0.12328238 -0.037655838 0.016554804 -0.10361443 -0.014085615 	-1.3995181	0.0040364877
2000	0.35300392 0.38395322 0.43518357 0.46696311 0.031276212 0.10559914 -0.016662244 0.026139414 0.1239555 -0.09167404 0.1204498 -0.037214655 0.012938474 -0.10063644 -0.012312794 	-1.4013778	0.007715987
2100	0.35942024 0.40147857 0.44099679 0.48380176 0.0063226743 0.10269188 -0.018424288 0.026022002 0.12261433 -0.092524417 0.11681751 -0.035689154 0.010439361 -0.097558165 -0.010518732 	-1.4031629	0.040568916
2200	0.36440753 0.41846202 0.4448458 0.4990932 -0.019554665 0.10013936 -0.019336655 0.025396543 0.12058534 -0.092486959 0.11248778 -0.032662787 0.0077745966 -0.094889234 -0.0088582176 	-1.4046039	0.013389592
2300	0.36816722 0.43475727 0.44691959 0.51304165 -0.045143744 0.097167624 -0.020122512 0.023846504 0.11776318 -0.092044773 0.10790558 -0.028304286 0.0053782267 -0.092680436 -0.0072936992 	-1.4057879	0.0056291412
2400	0.37099329 0.4506015 0.44748456 0.52616527 -0.069958016 0.09416503 -0.020650858 0.021894381 0.11448891 -0.091988197 0.10394644 -0.023143223 0.004754594 -0.09072885 -0.0059057419 	-1.4067788	0.0034870242
2500	0.37308033 0.46617884 0.44673942 0.53849078 -0.093630126 0.091508318 -0.020721937 0.019548379 0.11117887 -0.09260631 0.10055875 -0.017685102 0.00523034 -0.089295444 -0.0045416909 	-1.4075637	0.0031846721
2600	0.37458769 0.48158263 0.4450223 0.54984677 -0.11581929 0.089320352 -0.020160838 0.01646558 0.10816758 -0.092737794 0.097582201 -0.012048592 0.00515948 -0.088668059 -0.0033272332 	-1.4081561	0.0046213361
2700	0.37567969 0.49686789 0.44245421 0.56032612 -0.13616732 0.087552705 -0.019155915 0.012616483 0.10572049 -0.092680698 0.094997037 -0.0065652178 0.0042117173 -0.088636009 -0.002213916 	-1.4085849	0.0081655776
2800	0.37657179 0.51211541 0.43917518 0.57037894 -0.15428311 0.086154314 -0.017967736 0.0084194998 0.10401416 -0.092942816 0.093399822 -0.0015608589 0.0036439361 -0.088469321 -0.0013085891 	-1.4088698	0.029382915
2900	0.37738637 0.52723251 0.43524239 0.58014689 -0.16986839 0.084642869 -0.017148024 0.003803961 0.10296966 -0.093699675 0.092834176 0.0024627776 0.0035759684 -0.087803486 -0.00051259214 	-1.4090431	0.014546268
3000	0.3782074 0.54214751 0.43086527 0.58952807 -0.18270171 0.082725909 -0.016925528 -0.0014296359 0.10244848 -0.093811182 0.093119349 0.0049438073 0.0030736566 -0.086673664 0.00018300924 	-1.409165	0.038939475
3100	0.37910623 0.55693238 0.42610034 0.59845233 -0.19257951 0.080663747 -0.017249356 -0.0064580492 0.10247226 -0.093416428 0.093792143 0.0060970471 0.0015229323 -0.085170148 0.00081052168 	-1.4092631	0.012498686
3200	0.38016488 0.57174195 0.42101206 0.60706896 -0.19942626 0.078986324 -0.01785225 -0.010541136 0.10301119 -0.093010014 0.094796984 0.0062414419 -0.00050948536 -0.083289665 0.0012215396 	-1.4093944	0.039203824
3300	0.38136914 0.58651425 0.41560288 0.6153638 -0.20335314 0.077584767 -0.018830021 -0.013674288 0.10373275 -0.092849071 0.095959623 0.0057496522 -0.0021734747 -0.081318571 0.0014030695 	-1.4095462	0.0074020361
