15
100	0.0021602514 0.024446128 0.0020848927 0.0031180405 -0.0011113465 0.10270989 0.051618257 0.050429764 0.021020857 0.0014019422 -0.0011358659 -0.0078966856 0.0062170518 -0.0023470098 -0.012208907 	-0.044150197	0.54484461
200	-0.0019301292 0.0408526 -0.0075515763 -0.0064375774 -0.0044125497 0.19166178 0.089786881 0.086247003 0.039146022 -0.023361051 -0.027038445 -0.022519427 -0.020313314 -0.01022571 -0.01100937 	-0.29918162	0.030003024
300	-0.0096464442 0.044846779 -0.019228544 -0.017340003 -0.010995404 0.24439431 0.11068158 0.10737687 0.044983364 -0.031679996 -0.039018136 -0.036947427 -0.029861105 -0.014022501 -0.016349358 	-0.32954548	0.0097862523
400	-0.021045285 0.038003907 -0.03413054 -0.031075034 -0.018057784 0.26445844 0.1159407 0.11499861 0.045628121 -0.032454319 -0.041811964 -0.046835533 -0.028566253 -0.010311124 -0.015357188 	-0.33556987	0.0073508511
500	-0.035463151 0.023872183 -0.051249178 -0.048303665 -0.025304076 0.26495219 0.11286816 0.11293856 0.043979915 -0.025137359 -0.03990799 -0.052407773 -0.025706248 -0.0018653191 -0.0081723342 	-0.34685188	0.048557085
600	-0.051712244 0.006565958 -0.069781097 -0.067102211 -0.033767743 0.26050209 0.10749036 0.10884046 0.040114687 -0.014459661 -0.035848095 -0.05765751 -0.019617636 0.0069328789 -0.0047764122 	-0.35667627	0.026893462
700	-0.068505776 -0.010026678 -0.088976497 -0.086316407 -0.041911758 0.26248461 0.10393845 0.10727818 0.038101086 -0.0062215632 -0.033911725 -0.061186297 -0.013047467 0.015064098 -0.001627206 	-0.36310913	0.015347285
800	-0.085152717 -0.023716532 -0.10793748 -0.10556396 -0.049490321 0.27338458 0.10359086 0.10863533 0.038576881 -0.00075662515 -0.035068556 -0.062802362 -0.0087586029 0.021946199 -0.0016094941 	-0.36883875	0.065495141
900	-0.10129739 -0.035505676 -0.12606098 -0.1242658 -0.056215856 0.28836875 0.10460142 0.11110884 0.040755623 0.0023214297 -0.037809206 -0.062998636 -0.0057918088 0.027576918 -0.0012643581 	-0.37317341	0.010302489
1000	-0.11674396 -0.046678717 -0.14259127 -0.14175431 -0.062491307 0.30149388 0.10534607 0.11299122 0.042567062 0.0056543444 -0.039361138 -0.062897165 -0.001822679 0.031651954 -0.001445814 	-0.37574944	0.021709592
