15
100	0.01082917 0.015782903 0.01958189 0.02562356 0.034512231 0.03603182 0.028829034 0.034311884 0.053244323 0.047758285 0.048989897 0.070782256 0.073445551 0.081692313 0.095794257 	-1.1568016	0.0088641506
200	0.010055651 0.011995981 0.0082368195 0.025612719 0.0597936 0.019986541 0.005120499 0.022654008 0.098063783 -0.011160596 0.029863407 0.11786978 0.066863995 0.15763013 0.13479714 	-1.5481525	0.067558968
300	0.0088101305 0.0094839117 0.0019661238 0.024754397 0.0897305 0.0085276105 -0.0019538114 0.0095744942 0.16022482 -0.036199158 0.021858521 0.18548547 0.052396306 0.26057815 0.14412164 	-1.8242425	0.030366907
400	0.0046342842 0.0052018759 -0.0036981629 0.017649807 0.11368644 -0.0031784951 0.0035870343 -0.011111961 0.22229094 -0.037687134 0.014335626 0.24384477 0.015091325 0.36831033 0.098641505 	-2.0393773	0.046080707
500	-0.00012350317 0.0037133922 -0.0081687565 0.014997626 0.12905753 0.00021754901 0.019204714 -0.01724178 0.27663211 -0.035198668 0.023966984 0.2774299 -0.0023704261 0.47506523 0.0026336674 	-2.2244584	0.99627105
600	-0.0053774124 -0.00019791033 -0.018822131 0.015077867 0.14357431 -0.0025918901 0.022308603 -0.018038088 0.32702207 -0.062127322 0.035143675 0.29128251 0.0026232208 0.57712682 -0.0093182046 	-2.2914034	0.39339015
700	-0.011626133 -0.0049270974 -0.031211048 0.01252505 0.14877289 -0.0052501171 0.025507335 -0.01877706 0.36441638 -0.085287911 0.050393804 0.28065827 0.0011493708 0.66308368 -0.038009564 	-2.3402397	0.016724618
800	-0.019111001 -0.0099471335 -0.042847654 0.0054450616 0.147135 -0.0077703684 0.03264182 -0.022818731 0.39146538 -0.084661718 0.0696506 0.25287259 -0.01605221 0.73087193 -0.034019195 	-2.3597659	0.016642827
900	-0.026795963 -0.01461313 -0.055465949 -0.00060839636 0.13762554 -0.0092896977 0.039280624 -0.024403247 0.40719913 -0.082776267 0.091642907 0.20581936 -0.020904144 0.78217916 -0.032960186 	-2.3800335	0.082467853
1000	-0.03470222 -0.019372678 -0.069443031 -0.0067962584 0.12302137 -0.01091617 0.043889591 -0.027478928 0.4150016 -0.083433003 0.10807668 0.14662218 -0.024985188 0.82057043 -0.028598677 	-2.3969961	0.010217654
1100	-0.041397675 -0.02269848 -0.079771336 -0.012794633 0.10782228 -0.009146499 0.052264003 -0.032681534 0.42029971 -0.067117116 0.1204141 0.089833798 -0.034797385 0.85304967 -0.023307251 	-2.4084912	0.0059655511
1200	-0.046602685 -0.025671168 -0.088535711 -0.018606435 0.094719569 -0.0083719137 0.056733865 -0.042415058 0.42479501 -0.05243884 0.12154363 0.04139051 -0.047932645 0.88396805 -0.019020604 	-2.4114042	0.0096184097
1300	-0.049115617 -0.027541661 -0.094352295 -0.020687697 0.086850884 -0.0083775053 0.05589121 -0.052057463 0.43000744 -0.043210138 0.11767681 0.0093604357 -0.047955725 0.91710081 -0.009104405 	-2.4117151	0.026828751
1400	-0.049180439 -0.027474363 -0.096919112 -0.019858088 0.082572391 -0.0057311352 0.053671197 -0.059772088 0.43560855 -0.03743625 0.10936432 -0.0075706586 -0.038505458 0.95117305 -0.0094265237 	-2.4131723	0.012300547
1500	-0.04770245 -0.026035452 -0.097228782 -0.019361168 0.081317266 -0.0011754815 0.051618716 -0.067658786 0.44075264 -0.034746586 0.092757576 -0.010086644 -0.032660893 0.98240295 -0.011906668 	-2.4148789	0.044281629
1600	-0.045218235 -0.024083255 -0.095012484 -0.01875883 0.081194328 0.0016406078 0.050527932 -0.075007188 0.44314499 -0.029047991 0.076162052 -0.0044048784 -0.027022915 1.0074616 -0.014029492 	-2.4148795	0.013477278
1700	-0.042709429 -0.022737201 -0.092649799 -0.018521395 0.079799425 -0.00082067978 0.04799791 -0.082287125 0.44065663 -0.027246824 0.0609173 0.0011167731 -0.021112228 1.0236606 -0.017106266 	-2.4141094	0.047595837
1800	-0.039945568 -0.020559564 -0.089171691 -0.01796951 0.077162288 -0.0012530081 0.048871228 -0.08693153 0.43479135 -0.024615333 0.050439889 0.00412239 -0.01337341 1.0315236 -0.015380305 	-2.4136808	0.0056690515
1900	-0.037485629 -0.017913239 -0.085979387 -0.018272239 0.072368036 0.00030215604 0.052048327 -0.089746274 0.42540175 -0.025318995 0.04192325 0.0018469686 -0.008283775 1.0308866 -0.015305435 	-2.414234	0.081665787
2000	-0.034992764 -0.014693312 -0.081841037 -0.018882049 0.066809201 0.0017251656 0.057811358 -0.090267261 0.41443535 -0.023872404 0.037591449 -0.0014881263 -0.0050191676 1.0244232 -0.012376447 	-2.4150187	0.018425295
2100	-0.032713844 -0.011929361 -0.077716831 -0.020041319 0.06090193 -0.0015935102 0.062052102 -0.089616577 0.4025645 -0.023972914 0.036052399 -0.003209194 -0.0042926243 1.0141308 -0.0098791258 	-2.4156856	0.031827449
2200	-0.030282791 -0.0089466764 -0.07303161 -0.020902448 0.055637814 -0.0061629055 0.065473745 -0.086357865 0.39185289 -0.024207518 0.038500309 -0.00072501132 -0.0035607549 1.0028624 -0.0086122277 	-2.4161968	0.0675932
2300	-0.027826162 -0.0054893341 -0.068690638 -0.022009062 0.051470121 -0.010065892 0.067568572 -0.08056663 0.38367653 -0.028386007 0.041978311 0.0055396317 -0.0049472592 0.99201999 -0.0080546942 	-2.4167279	0.014063622
2400	-0.02517483 -0.0011606453 -0.064151266 -0.023052897 0.048604644 -0.011572752 0.06970572 -0.072198551 0.37880812 -0.03341743 0.046949463 0.014893573 -0.0072623581 0.98274487 -0.0085755711 	-2.4173541	0.038556476
2500	-0.022644794 0.0024545513 -0.060060277 -0.024468272 0.046635079 -0.013675779 0.06955126 -0.063768596 0.37656033 -0.039814461 0.052084248 0.026163462 -0.010691187 0.97495235 -0.010539573 	-2.4177533	0.0104439
2600	-0.020200071 0.0040134445 -0.05595552 -0.026027119 0.045323795 -0.016096377 0.068047332 -0.056223973 0.37648803 -0.04397028 0.058288365 0.038404573 -0.013605607 0.96853048 -0.012106223 	-2.4178425	0.0030013077
2700	-0.018144684 0.0035692532 -0.052679737 -0.028256825 0.043703956 -0.017619825 0.065670515 -0.050595777 0.37776305 -0.047964916 0.063685153 0.048349 -0.017072904 0.9625485 -0.014412394 	-2.4176202	0.0032696426
2800	-0.016375915 0.001696524 -0.050055822 -0.030801961 0.041548378 -0.016364358 0.064022584 -0.046493441 0.38023997 -0.050866197 0.068810392 0.054587272 -0.019557457 0.95687977 -0.014911426 	-2.4174274	0.015880307
2900	-0.014991168 -0.0016715753 -0.048358351 -0.033694003 0.038488941 -0.013985808 0.062145958 -0.044712738 0.38336591 -0.053238379 0.073262937 0.05609846 -0.020801913 0.9515239 -0.015064274 	-2.4174113	0.021592424
3000	-0.013873436 -0.0052244757 -0.047180171 -0.036864274 0.034899919 -0.011916483 0.059686184 -0.045664336 0.38707594 -0.053317599 0.077142387 0.054287374 -0.020857511 0.94704217 -0.014380859 	-2.4175389	0.0068737189
3100	-0.012906343 -0.0086009034 -0.046389455 -0.040391585 0.031201688 -0.010101163 0.056844734 -0.04904309 0.39149836 -0.051345239 0.07957837 0.050650993 -0.020658794 0.94400667 -0.013383437 	-2.4177187	0.0036460408
3200	-0.011923352 -0.011379934 -0.045994251 -0.044074866 0.02775159 -0.0073370493 0.05433333 -0.053482038 0.3967822 -0.049057486 0.07994353 0.046269129 -0.020205525 0.9429766 -0.012623999 	-2.417849	0.0046392543
3300	-0.010747639 -0.013402287 -0.045825501 -0.047457417 0.024884185 -0.0037564025 0.052330241 -0.057663195 0.40279018 -0.047297236 0.078777945 0.042222749 -0.018338492 0.94437983 -0.01183808 	-2.4179574	0.0087572157
3400	-0.0093942795 -0.015011061 -0.045852149 -0.050555307 0.022634599 -0.0011567372 0.050171043 -0.061376406 0.4088801 -0.046338258 0.076249403 0.039121296 -0.015560906 0.9480201 -0.01141952 	-2.4180369	0.017096386
3500	-0.0078361026 -0.016236131 -0.04568037 -0.05344865 0.020895173 8.3929938e-05 0.048479276 -0.064222915 0.41443085 -0.044546713 0.073040336 0.037282889 -0.01293452 0.95332269 -0.01178301 	-2.4180771	0.022774955
3600	-0.0061340587 -0.017066079 -0.045394955 -0.056347452 0.019454283 -0.0004795252 0.047583893 -0.06595504 0.41884145 -0.042540634 0.069118123 0.036177893 -0.011573741 0.9593701 -0.011964101 	-2.4180732	0.012852642
3700	-0.0042663208 -0.017338352 -0.045000539 -0.058969643 0.017925324 -0.0010828504 0.047913874 -0.066008721 0.4215864 -0.04101231 0.065547666 0.034679034 -0.010229283 0.96534353 -0.012319615 	-2.4180356	0.0066494111
